nohup: ignoring input
Warning: no zeus installation found. Will not be able to sample using sampler = 'zeus'.
Points before clipping: 28561
Points after clipping:  28267
Points removed:         294
Data runs from 3775.29 to 3828.51 BTJD
T0 folded into data window: 3803.241260 BTJD
Number of transits in data: 12
	 Transit fit detected for instrument  TESS
	 >> ecc,omega parametrization detected for lc planet p1
	 >> (b,p) parametrization detected for lc planet p1
Fitting with dynesty using 24 cores...
WARNING: use of the use_dynesty argument is deprecated and will be removed in future juliet versions. Use the "sampler" string instead; for more information, check the API of juliet.fit: https://juliet.readthedocs.io/en/latest/user/api.html#juliet.fit
WARNING: use of the dynesty_nthreads argument is deprecated and will be removed in future juliet versions. Use the "nthreads" argument instead; for more information, check the API of juliet.fit: https://juliet.readthedocs.io/en/latest/user/api.html#juliet.fit

0it [00:00, ?it/s]
1it [00:01,  1.01s/it, bound: 0 | nc: 1 | ncall: 501 | eff(%):  0.200 | loglstar:   -inf <   -inf <    inf | logz:   -inf +/-  0.117 | dlogz:    inf >  0.509]
255it [00:12, 21.67it/s, bound: 0 | nc: 2 | ncall: 852 | eff(%): 29.930 | loglstar:   -inf < 73443.282 <    inf | logz: 73435.864 +/-  0.122 | dlogz: 10255.144 >  0.509]
279it [00:13, 21.84it/s, bound: 0 | nc: 2 | ncall: 894 | eff(%): 31.208 | loglstar:   -inf < 74932.504 <    inf | logz: 74925.039 +/-  0.122 | dlogz: 8732.244 >  0.509] 
302it [00:14, 22.48it/s, bound: 0 | nc: 2 | ncall: 937 | eff(%): 32.231 | loglstar:   -inf < 75929.300 <    inf | logz: 75921.789 +/-  0.123 | dlogz: 7801.186 >  0.509]
326it [00:15, 24.23it/s, bound: 0 | nc: 1 | ncall: 972 | eff(%): 33.539 | loglstar:   -inf < 76682.123 <    inf | logz: 76674.564 +/-  0.123 | dlogz: 6982.769 >  0.509]
349it [00:16, 25.91it/s, bound: 0 | nc: 1 | ncall: 1025 | eff(%): 34.049 | loglstar:   -inf < 77447.480 <    inf | logz: 77439.875 +/-  0.123 | dlogz: 6242.313 >  0.509]
373it [00:17, 27.44it/s, bound: 0 | nc: 1 | ncall: 1075 | eff(%): 34.698 | loglstar:   -inf < 78160.935 <    inf | logz: 78153.464 +/-  0.119 | dlogz: 5495.820 >  0.509]
396it [00:18, 28.23it/s, bound: 0 | nc: 5 | ncall: 1132 | eff(%): 34.982 | loglstar:   -inf < 78679.560 <    inf | logz: 78671.861 +/-  0.124 | dlogz: 5003.652 >  0.509]
420it [00:18, 28.93it/s, bound: 0 | nc: 1 | ncall: 1193 | eff(%): 35.205 | loglstar:   -inf < 79051.192 <    inf | logz: 79043.445 +/-  0.124 | dlogz: 4618.853 >  0.509]
443it [00:19, 30.00it/s, bound: 0 | nc: 5 | ncall: 1271 | eff(%): 34.854 | loglstar:   -inf < 79320.481 <    inf | logz: 79312.778 +/-  0.122 | dlogz: 4337.022 >  0.509]
467it [00:20, 31.44it/s, bound: 0 | nc: 2 | ncall: 1321 | eff(%): 35.352 | loglstar:   -inf < 79547.498 <    inf | logz: 79539.657 +/-  0.125 | dlogz: 4120.819 >  0.509]
490it [00:20, 30.49it/s, bound: 0 | nc: 2 | ncall: 1383 | eff(%): 35.430 | loglstar:   -inf < 79786.114 <    inf | logz: 79778.228 +/-  0.126 | dlogz: 3878.489 >  0.509]
514it [00:21, 30.42it/s, bound: 0 | nc: 1 | ncall: 1439 | eff(%): 35.719 | loglstar:   -inf < 80100.467 <    inf | logz: 80092.571 +/-  0.124 | dlogz: 3567.382 >  0.509]
