    0.100466423820480184E+02   -0.794357130533394127E+02    0.986658596589023631E+02   -0.116382898326245751E+03
    0.476796772239628837E+02   -0.644860777308454942E+02    0.968255222095268664E+02   -0.116357383172382370E+03
    0.279206931207531106E+02   -0.797168820440852244E+02    0.966355415112118976E+02   -0.116348540365296742E+03
    0.180307206451231110E+02   -0.707227436437351855E+02    0.990326096516097465E+02   -0.116345000832203795E+03
    0.670874243636415741E+02   -0.655773725471086664E+02    0.947430899044653643E+02   -0.116343008652608361E+03
    0.610097468569788504E+01   -0.829025983396280139E+02    0.987301946730267161E+02   -0.116335912776446179E+03
    0.258265523524603680E+02   -0.839235189921627409E+02    0.963310227903760961E+02   -0.116321814172813575E+03
    0.488367940930559143E+02   -0.833330301998718852E+02    0.939324575545038272E+02   -0.116278690491767875E+03
    0.336276105506468781E+02   -0.748226238949730913E+02    0.968080648664648606E+02   -0.116266426904227515E+03
    0.523520442602366316E+02   -0.781925536216593144E+02    0.943296678662894550E+02   -0.116256263220872896E+03
    0.281793027099094822E+02   -0.741111396148681365E+02    0.975282249605439944E+02   -0.116249994279675022E+03
    0.340151648479549849E+02   -0.717219632444583226E+02    0.972558276212184296E+02   -0.116244048153574852E+03
    0.253364665561028168E+02   -0.860599850796541830E+02    0.962276248879828700E+02   -0.116221473628108285E+03
    0.545696440487392493E+02   -0.633018651055918440E+02    0.964970526218237268E+02   -0.116220428987262736E+03
    0.300510204352567811E+02   -0.628781184947085876E+02    0.990898370960568400E+02   -0.116219847607024477E+03
    0.572623870153078585E+02   -0.802852945727029237E+02    0.935583964923013269E+02   -0.116216516950907220E+03
    0.172696747484948645E+02   -0.663728988618174469E+02    0.999348139195676595E+02   -0.116215354644909979E+03
    0.341344384311909863E+02   -0.723489639122493173E+02    0.971862330892021191E+02   -0.116213438444447860E+03
    0.306842729966771302E+02   -0.790043152548464036E+02    0.965998891920155671E+02   -0.116208349698126554E+03
    0.285766470161526911E+02   -0.842525470823138249E+02    0.961262992284040507E+02   -0.116198816331845393E+03
    0.336750888016206318E+02   -0.866699266271037487E+02    0.952345574039347298E+02   -0.116196906824938182E+03
    0.172605737399590602E+02   -0.850567609086066483E+02    0.973315969966730705E+02   -0.116185524499754067E+03
    0.238391189881875221E+02   -0.817664257390777749E+02    0.970138628051329306E+02   -0.116184821137101409E+03
    0.562174495582643630E+02   -0.546566493966925151E+02    0.978745369168607198E+02   -0.116184772406605504E+03
    0.228343922061310565E+02   -0.628493204626413515E+02    0.999231187138741461E+02   -0.116177159805402837E+03
    0.459316602975080812E+02   -0.596924777068189840E+02    0.980244672722409689E+02   -0.116176427648042150E+03
    0.194436728764797384E+01   -0.843025353761724148E+02    0.992494221182255387E+02   -0.116174109651923104E+03
    0.650624887541618762E+02   -0.666575829955176005E+02    0.949687019842315721E+02   -0.116167994048424291E+03
    0.111339083827222005E+02   -0.900663756843957231E+02    0.974524569069701698E+02   -0.116162031355978158E+03
    0.357281411219723495E+02   -0.589586585577984224E+02    0.992108779484228762E+02   -0.116161320953199194E+03
    0.432620488000414571E+01   -0.780301639581532100E+02    0.998068961791587839E+02   -0.116157990537506706E+03
    0.474838737097880781E+02   -0.625087473851338729E+02    0.974202630719440208E+02   -0.116155734467799007E+03
    0.398928038465421819E+01   -0.858040732782253599E+02    0.988432755570732837E+02   -0.116152150348499532E+03
    0.481559063265921168E+02   -0.663422057051919580E+02    0.967323464549748735E+02   -0.116147550870151647E+03
    0.435008333114545209E+02   -0.725620812718466510E+02    0.962368912197221249E+02   -0.116146948725426881E+03
    0.544483212550107254E+02   -0.484624646228695397E+02    0.992218844508174698E+02   -0.116143390444348213E+03
    0.428689183219433829E+02   -0.703402523163260014E+02    0.966531914186354868E+02   -0.116141078851055951E+03
    0.513332033615968797E+02   -0.612776353740946504E+02    0.972709353700428778E+02   -0.116130447143949738E+03
    0.447337871495265063E+02   -0.697997067455743831E+02    0.965561557762982403E+02   -0.116130006732558371E+03
    0.382079385582358739E+02   -0.820044327941854192E+02    0.954537142342715157E+02   -0.116123747404292416E+03
    0.301061542443049390E+02   -0.617410505851553992E+02    0.993907141364133793E+02   -0.116122557764165975E+03
    0.281466635234884919E+02   -0.660439167839911363E+02    0.989150836301158733E+02   -0.116121416163369190E+03
    0.103707207455162678E+02   -0.793429389133789869E+02    0.989738288096043419E+02   -0.116117260965957811E+03
    0.519248637667383477E+02   -0.788361406356870589E+02    0.944599836694010833E+02   -0.116105303890164279E+03
    0.235230969939486521E+02   -0.959347821477242064E+02    0.953671231622104472E+02   -0.116096962138381286E+03
    0.165847957520068134E+01   -0.864159085626395154E+02    0.991236341709382600E+02   -0.116091632342684690E+03
    0.440311348761189052E+02   -0.595383930217499326E+02    0.983501381152320135E+02   -0.116090705595719655E+03
    0.565406569086487139E+02   -0.781870699868508723E+02    0.940962980870762493E+02   -0.116088560801778911E+03
    0.282738327330341654E+02   -0.896428787606056403E+02    0.955959280402673244E+02   -0.116086252222198354E+03
    0.614083567891832303E+02   -0.675941058348826971E+02    0.952739345112423450E+02   -0.116083682076674165E+03
    0.613227656434942503E+02   -0.580687197848628713E+02    0.969110094804531315E+02   -0.116077970240944282E+03
    0.496324680138699534E+02   -0.548984270899281839E+02    0.986154526513518732E+02   -0.116071610498424619E+03
    0.863077727047057408E+01   -0.796984340246857670E+02    0.991885822872909273E+02   -0.116070120627823400E+03
    0.506882919579884827E+02   -0.535262106066056873E+02    0.987686451442894082E+02   -0.116060888246438182E+03
    0.179702649949310391E+02   -0.798944579443646887E+02    0.980928749217679012E+02   -0.116059843998438708E+03
    0.525842223542862399E+02   -0.507427982128535291E+02    0.990947408251901720E+02   -0.116054069967941544E+03
